order_id,customer_id,order_date,product_id,quantity,unit_price,total_amount,order_status,payment_date
1,7557,2023-08-20,364,3,11.97,35.91,Pending,
2,605,2023-03-03,331,2,341.8,683.6,Completed,2023-03-07
3,8339,2024-11-21,156,2,256.58,513.16,Completed,2024-11-26
4,6145,2022-01-17,334,6,262.07,1572.42,Cancelled,
5,9863,2023-09-09,406,5,157.67,788.35,Completed,2023-09-12
6,2226,2022-02-24,48,8,204.87,1638.96,Completed,2022-03-01
7,8425,2024-01-09,63,10,442.65,4426.5,Cancelled,
8,7432,2024-08-19,317,10,19.99,199.9,Completed,2024-08-26
9,4688,2023-04-22,257,1,336.88,336.88,Completed,2023-04-24
10,4404,2022-04-03,447,9,160.52,1444.68,Completed,2022-04-06
11,1434,2022-04-16,386,9,268.31,2414.79,Cancelled,
12,9522,2022-05-06,396,1,162.77,162.77,Pending,
13,3606,2022-05-21,352,1,329.71,329.71,Completed,2022-05-24
14,9381,2023-09-29,235,6,90.08,540.48,Completed,2023-10-04
15,7941,2024-05-16,133,3,34.81,104.43,Completed,2024-05-20
16,7067,2023-05-17,77,4,470.48,1881.92,Completed,2023-05-20
17,2967,2022-10-06,231,8,8.83,70.64,Cancelled,
18,1244,2023-11-29,291,1,225.73,225.73,Cancelled,
19,3943,2024-07-17,436,3,161.76,485.28,Completed,2024-07-19
20,568,2022-09-17,495,10,319.25,3192.5,Pending,
21,1317,2022-04-22,381,3,207.39,622.17,Completed,2022-04-28
22,588,2023-02-20,86,1,261.39,261.39,Pending,
23,8253,2022-05-27,300,8,353.5,2828.0,Completed,2022-05-29
24,7496,2024-04-05,33,8,114.01,912.08,Completed,2024-04-09
25,9786,2022-07-28,6,4,478.82,1915.28,Cancelled,
26,7770,2024-06-10,352,7,329.71,2307.97,Completed,2024-06-11
27,2972,2023-04-13,436,2,161.76,323.52,Completed,2023-04-17
28,6740,2022-05-07,448,1,248.05,248.05,Completed,2022-05-09
29,5975,2023-09-22,268,9,77.94,701.46,Completed,2023-09-28
30,9345,2023-03-07,462,5,393.21,1966.05,Completed,2023-03-12
31,2587,2022-08-14,307,3,499.8,1499.4,Completed,2022-08-18
32,2675,2024-04-11,141,2,44.82,89.64,Completed,2024-04-12
33,1546,2022-02-11,348,4,386.73,1546.92,Cancelled,
34,5569,2022-02-12,273,10,276.66,2766.6,Cancelled,
35,3575,2023-04-19,13,10,233.82,2338.2,Completed,2023-04-22
36,6857,2023-12-18,176,5,103.61,518.05,Completed,2023-12-25
37,2428,2024-11-29,307,3,499.8,1499.4,Pending,
38,909,2023-12-10,357,2,241.34,482.68,Completed,2023-12-14
39,8512,2022-06-16,310,7,219.15,1534.05,Pending,
40,5916,2022-09-09,486,7,318.22,2227.54,Cancelled,
41,2646,2024-05-13,105,3,235.19,705.57,Completed,2024-05-19
