product_id,product_name,category,price,cost,stock_quantity,reorder_level
1,Leather Speaker,Clothing,321.52,99.67,142,23
2,Smart Shoes,Sports,339.97,223.32,32,13
3,Modern Headphones,Books,51.38,20.2,203,93
4,Digital Shoes,Home & Kitchen,352.16,164.74,828,10
5,Wooden Desk,Home & Kitchen,380.61,138.49,159,37
6,Smart Chair,Electronics,478.82,208.11,367,54
7,Luxury Camera,Books,303.84,189.25,127,58
8,Ergonomic Shoes,Toys,44.01,18.36,370,83
9,Ergonomic Speaker,Toys,100.18,32.84,296,20
10,Wooden Bottle,Sports,428.38,276.99,650,56
11,Ergonomic Bottle,Beauty,85.51,37.8,959,97
12,Portable Bag,Beauty,325.78,177.11,250,30
13,Ergonomic Keyboard,Books,233.82,95.39,224,97
14,Wireless Speaker,Toys,165.52,100.52,32,50
15,Modern Keyboard,Home & Kitchen,203.58,66.46,217,93
16,Ergonomic Camera,Clothing,252.12,164.85,271,27
17,Leather Keyboard,Books,127.08,66.66,438,84
18,Portable Bag,Sports,202.7,78.59,93,16
19,Portable Mouse,Sports,431.25,155.74,610,18
20,Digital Bag,Home & Kitchen,195.46,105.23,994,80
21,Luxury T-Shirt,Beauty,431.09,131.31,906,78
22,Steel T-Shirt,Home & Kitchen,376.68,228.81,445,30
23,Luxury Bottle,Books,229.59,156.47,780,32
24,Ergonomic Bottle,Toys,256.3,87.8,654,74
25,Portable Bag,Toys,306.44,110.67,944,77
26,Digital Headphones,Electronics,459.65,248.02,951,56
27,Leather Speaker,Electronics,439.97,278.35,246,82
28,Digital T-Shirt,Toys,473.74,158.35,545,26
29,Classic Watch,Home & Kitchen,68.55,33.6,540,87
30,Classic Keyboard,Beauty,214.45,82.5,205,49
31,Steel Camera,Books,202.5,115.16,462,25
32,Wireless Shoes,Books,127.71,41.58,235,85
33,Ergonomic Headphones,Clothing,114.01,37.44,69,14
34,Cotton Bottle,Beauty,430.52,141.36,497,37
35,Modern Shoes,Sports,271.92,160.25,248,70
36,Smart Mouse,Sports,404.71,152.24,362,64
37,Wireless Mouse,Beauty,208.5,134.59,661,22
38,Smart Speaker,Clothing,35.0,20.69,194,78
39,Leather Camera,Clothing,227.06,106.43,895,19
40,Classic T-Shirt,Electronics,224.35,144.6,667,79
41,Cotton Watch,Sports,418.83,287.99,497,71
42,Wireless Watch,Sports,110.8,51.01,2,59
43,Digital Bottle,Sports,136.28,83.63,713,81
44,Cotton Bottle,Clothing,332.63,164.54,991,17
45,Luxury Desk,Electronics,291.69,150.77,51,84
46,Classic Watch,Electronics,241.01,160.94,983,75
47,Modern T-Shirt,Beauty,44.66,16.72,882,40
48,Modern Speaker,Books,204.87,138.62,608,15
49,Modern Shoes,Books,311.59,145.73,323,43
50,Cotton Bottle,Sports,106.11,62.23,134,95
51,Smart Headphones,Sports,324.52,156.71,636,82
52,Cotton Bag,Home & Kitchen,498.07,164.02,135,54
53,Steel Bottle,Clothing,441.03,287.42,448,79
54,Ergonomic Bag,Electronics,353.25,192.41,683,80
55,Portable Bottle,Electronics,153.19,86.61,911,23
56,Leather Shoes,Clothing,372.5,134.91,734,53
57,Leather Bag,Sports,105.78,58.57,257,16
58,Leather Headphones,Electronics,50.69,23.8,341,26
59,Luxury Camera,Books,320.37,129.68,722,64
60,Luxury Watch,Books,282.65,97.44,36,57
61,Portable Headphones,Home & Kitchen,293.34,105.38,373,15
62,Cotton Mouse,Electronics,449.97,172.8,362,81
63,Modern Keyboard,Clothing,442.65,204.75,947,40
64,Portable Chair,Electronics,432.98,298.97,183,52
65,Ergonomic Keyboard,Toys,392.28,182.29,254,44
66,Wooden Headphones,Toys,83.8,48.65,481,38
67,Steel Bottle,Toys,103.79,69.27,814,39
68,Wooden Desk,Home & Kitchen,115.35,65.06,885,18
69,Ergonomic Bag,Sports,483.61,199.08,695,78
70,Leather Watch,Books,168.92,52.54,985,43
71,Steel Keyboard,Toys,23.94,12.89,321,65
72,Wooden Shoes,Clothing,305.07,153.93,260,15
73,Classic Mouse,Beauty,355.85,107.0,962,95
74,Ergonomic Desk,Books,102.53,48.45,321,94
75,Leather Bag,Home & Kitchen,424.77,249.72,682,62
76,Classic Watch,Clothing,166.46,96.36,430,95
77,Portable Shoes,Books,470.48,268.61,308,61
78,Leather Speaker,Sports,276.23,82.91,804,84
79,Digital Camera,Beauty,305.3,130.94,218,75
80,Luxury Watch,Beauty,239.23,158.0,86,46
81,Steel T-Shirt,Toys,260.15,143.91,974,40
82,Cotton Watch,Electronics,338.03,131.78,47,41
83,Smart Camera,Sports,492.05,267.93,907,90
84,Wooden Camera,Sports,289.96,170.3,249,28
85,Smart Chair,Clothing,329.75,99.66,180,99
86,Cotton T-Shirt,Sports,261.39,83.67,136,69
87,Modern Desk,Toys,335.45,233.19,912,66
88,Classic Chair,Toys,308.26,181.17,928,80
89,Digital Camera,Home & Kitchen,225.73,82.09,769,41
90,Classic Camera,Beauty,420.73,172.89,244,45
91,Cotton Bottle,Home & Kitchen,222.74,130.4,327,79
92,Wooden Keyboard,Clothing,44.89,16.18,723,37
93,Classic Camera,Sports,36.79,17.04,63,36
94,Modern Keyboard,Electronics,417.28,190.19,877,83
95,Steel Bottle,Toys,193.29,58.44,399,63
96,Modern Speaker,Sports,271.42,161.18,224,44
97,Steel Mouse,Beauty,220.74,68.78,817,61
98,Portable Shoes,Books,363.47,231.24,27,60
99,Smart Mouse,Sports,297.99,168.42,138,69
100,Steel Speaker,Sports,94.96,38.37,334,53
101,Wooden Bottle,Toys,381.81,172.44,83,70
102,Steel Speaker,Beauty,14.59,7.53,70,93
103,Cotton Speaker,Toys,24.93,7.79,20,89
104,Ergonomic T-Shirt,Books,80.43,28.19,970,37
